Spot No,Spot No,Source file,Fish code,My code,Region,My site,Na23_ppm,Mg24_ppm,Ni60_ppm,Cu63_ppm,Sr88_ppm,Ba137_ppm
4,4,Ha - 4.d,LC-SB1-13,BN3,Gascoyne,Bernier Island,2407,15.95,0.190,0.426,2196,2.63
5,5,Ha - 5.d,LC-SB1-13,BN3,Gascoyne,Bernier Island,1934,14.35,0.181,0.651,2749,2.08
6,6,Ha - 6.d,LC-SB1-13,BN3,Gascoyne,Bernier Island,1882,14.00,0.198,0.479,2895,2.13
7,7,Ha - 7.d,LC-SB1-13,BN3,Gascoyne,Bernier Island,1772,13.95,0.170,0.586,3422,2.51
8,8,Ha - 8.d,LC-SB1-13,BN3,Gascoyne,Bernier Island,1823,15.88,0.194,0.490,3075,2.09
9,margin,Ha - 9.d,LC-SB1-13,BN3,Gascoyne,Bernier Island,1760,19.83,0.178,0.730,3122,2.75
1,core,De - 1.d,LC-SB1-16,BN4,Gascoyne,Bernier Island,3474,50.90,0.200,0.560,1981,6.00
2,2,De - 2.d,LC-SB1-16,BN4,Gascoyne,Bernier Island,3153,56.90,0.175,0.201,1889,13.39
3,3,De - 3.d,LC-SB1-16,BN4,Gascoyne,Bernier Island,2506,24.76,0.202,0.234,1692,1.41
4,4,De - 4.d,LC-SB1-16,BN4,Gascoyne,Bernier Island,2532,20.05,0.183,0.184,1727,1.32
5,5,De - 5.d,LC-SB1-16,BN4,Gascoyne,Bernier Island,2189,15.18,0.184,0.179,1919,1.33
6,6,De - 6.d,LC-SB1-16,BN4,Gascoyne,Bernier Island,1996,12.96,0.152,0.157,2008,1.34
7,margin,De - 7.d,LC-SB1-16,BN4,Gascoyne,Bernier Island,2396,13.53,0.184,0.246,2229,1.51
1,core,Kb - 1.d,LC-EX2-01,BR1,Gascoyne,Bay of Rest,3575,94.50,0.610,1.230,2246,13.85
2,2,Kb - 2.d,LC-EX2-01,BR1,Gascoyne,Bay of Rest,2862,61.10,0.461,0.800,2337,3.14
3,3,Kb - 3.d,LC-EX2-01,BR1,Gascoyne,Bay of Rest,1957,28.52,0.297,0.472,2900,3.31
4,4,Kb - 4.d,LC-EX2-01,BR1,Gascoyne,Bay of Rest,1867,28.06,0.252,0.448,3015,2.85
5,5,Kb - 5.d,LC-EX2-01,BR1,Gascoyne,Bay of Rest,1827,35.49,0.273,0.579,3011,2.89
6,6,Kb - 6.d,LC-EX2-01,BR1,Gascoyne,Bay of Rest,1806,39.68,0.283,0.622,3130,2.26
7,margin,Kb - 7.d,LC-EX2-01,BR1,Gascoyne,Bay of Rest,1727,45.70,0.283,0.678,3184,2.62
1,core,Ec - 1.d,LC-EX2-12,BR2,Gascoyne,Bay of Rest,3568,116.30,0.232,0.833,1745,4.23
2,2,Ec - 2.d,LC-EX2-12,BR2,Gascoyne,Bay of Rest,2829,39.72,0.197,0.377,2602,2.59
3,3,Ec - 3.d,LC-EX2-12,BR2,Gascoyne,Bay of Rest,2352,27.15,0.163,0.250,2455,2.32
4,4,Ec - 4.d,LC-EX2-12,BR2,Gascoyne,Bay of Rest,2072,43.07,0.205,0.271,2767,1.97
5,margin,Ec - 5.d,LC-EX2-12,BR2,Gascoyne,Bay of Rest,2008,56.80,0.164,0.389,3269,2.76
1,core,If - 1.d,LC-EX2-13,BR3,Gascoyne,Bay of Rest,3861,141.80,0.216,1.277,2037,1.96
2,2,If - 2.d,LC-EX2-13,BR3,Gascoyne,Bay of Rest,2694,23.59,0.190,0.225,1917,7.58
3,3,If - 3.d,LC-EX2-13,BR3,Gascoyne,Bay of Rest,2172,16.68,0.163,0.201,2194,4.11
4,4,If - 4.d,LC-EX2-13,BR3,Gascoyne,Bay of Rest,2271,16.20,0.143,0.248,1978,4.03
5,margin,If - 5.d,LC-EX2-13,BR3,Gascoyne,Bay of Rest,1902,27.97,0.199,0.545,2470,3.49
1,core,Bd - 1.d,LC-EX2-16,BR4,Gascoyne,Bay of Rest,4046,87.70,0.283,0.685,2069,3.88
2,2,Bd - 2.d,LC-EX2-16,BR4,Gascoyne,Bay of Rest,3122,39.71,0.293,0.411,1598,3.37
3,3,Bd - 3.d,LC-EX2-16,BR4,Gascoyne,Bay of Rest,2516,19.35,0.158,0.213,1848,2.30
4,4,Bd - 4.d,LC-EX2-16,BR4,Gascoyne,Bay of Rest,2134,18.89,0.185,0.287,2310,3.14
5,margin,Bd - 5.d,LC-EX2-16,BR4,Gascoyne,Bay of Rest,2743,27.10,0.224,0.322,2079,3.05
1,core,Slide23 -CK1 - 01.d,LC 020334,CK1,Pilbara,Cape Keraudren (1/2),2954,45.36,0.032,0.176,1736,5.25
2,2,Slide23 -CK1 - 02.d,LC 020334,CK1,Pilbara,Cape Keraudren (1/2),2171,13.59,0.030,0.137,2056,3.86
3,3,Slide23 -CK1 - 03.d,LC 020334,CK1,Pilbara,Cape Keraudren (1/2),1926,10.00,0.033,0.079,2012,1.99
4,4,Slide23 -CK1 - 04.d,LC 020334,CK1,Pilbara,Cape Keraudren (1/2),1514,8.07,0.049,0.074,2490,1.95
